Commit A,Commit B,Similarity
Update AREA OF TRIANGLE.py,Update tic tac toe game,0.37
Update AREA OF TRIANGLE.py,fixed README typo,0.33
"Add password strength checker function

Implement password strength checker with criteria for length, digits, and uppercase letters.","Refactor comments and add author details

Updated comments for clarity and added author information.",0.33
"Add password strength checker function

Implement password strength checker with criteria for length, digits, and uppercase letters.",Added comments in currency convertor main.py file for more readeability of code,0.35
feat: add image compression script using Pillow,press space to quit video window,0.38
feat: add image compression script using Pillow,add the docs for the sum_of_digits,0.37
feat: add image compression script using Pillow,add the docs for the sum_of_digits,0.37
feat: add image compression script using Pillow,exception handling of Sockets with Fore color using colorama module,0.33
feat: add image compression script using Pillow,added round in main function,0.32
feat: add image compression script using Pillow,adding useful comment for cat,0.37
feat: add image compression script using Pillow,Add RemoteOK job scraper script,0.36
feat: add image compression script using Pillow,Added comments in currency convertor main.py file for more readeability of code,0.3
feat: add image compression script using Pillow,"fix docstrings and add start_app function
in other_pepole/get_ip_gui",0.33
feat: add image compression script using Pillow,Fix typos in Compression_Analysis/PSNR.py,0.39
Update tic tac toe game,press space to quit video window,0.33
Update tic tac toe game,updated sum_of_digits_of_a_number to include negative numbers,0.4
Update tic tac toe game,add the docs for the sum_of_digits,0.35
Update tic tac toe game,add the docs for the sum_of_digits,0.35
Update tic tac toe game,comment for start,0.3
Update tic tac toe game,main file code,0.32
Update tic tac toe game,use full commets.,0.3
Update tic tac toe game,Exceotion handled by me,0.39
Update tic tac toe game,Exception handled by me,0.39
Update tic tac toe game,Fix typos in BlackJack_game/blackjack.py,0.32
High-performance deep learning framework built on PyTorch with CUDA acceleration,exception handling of Sockets with Fore color using colorama module,0.31
press space to quit video window,updated sum_of_digits_of_a_number to include negative numbers,0.34
press space to quit video window,use of json with loop for index,0.35
press space to quit video window,use of json,0.33
press space to quit video window,chenged to OOP style,0.31
increased video Frame rate 20 to 60 and changed Video output Color format grey to color BGRA.,Added comments in currency convertor main.py file for more readeability of code,0.33
updated sum_of_digits_of_a_number to include negative numbers,add the docs for the sum_of_digits,0.38
updated sum_of_digits_of_a_number to include negative numbers,add the docs for the sum_of_digits,0.38
updated sum_of_digits_of_a_number to include negative numbers,use of json with loop for index,0.33
"added Some commets and new error massage, changed font color in label top of the Entry box becouse they cont visible in white color,  i changed into black color.",Added comments in currency convertor main.py file for more readeability of code,0.36
fixing negative integers by using the absolute value before computing the digit sum.,fixing negative integers by using the absolute value before computing the digit sum.,1.0
fixing negative integers by using the absolute value before computing the digit sum.,exception handling of Sockets with Fore color using colorama module,0.3
fixing negative integers by using the absolute value before computing the digit sum.,Fix typos in brickout-game/brickout-game.py,0.33
