Commit Message A,Commit Message B,Similarity
"Merge pull request #258 from aneebp/feature/detection

motion detection for real-time pose detection",motion detection for real-time pose detection,0.855
"Merge pull request #255 from caneslarry/string-manipulator

- inital commit, simple string library to encapsulate python string m…","- inital commit, simple string library to encapsulate python string manipulation.",0.803
"Merge pull request #248 from HarshDaniel/morse-code-beep-generator

added a morse code generator which produces beep sound",added a morse code generator which produces beep sound,0.885
Update README.md,update: update README.md,0.943
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
updated readme,Updated README,1.0
update: update README.md,Update README.md,0.943
update: update README.md,Update README.md,0.943
update: update README.md,Update README.md,0.943
update: update README.md,Update README.md,0.943
update: update README.md,Update README.md,0.943
update: update README.md,Update README.md,0.943
update: update README.md,Update README.md,0.943
update: update README.md,update readme,0.837
update: update README.md,update readme,0.837
update: update README.md,Update README.md,0.943
update: update README.md,Readme Update,0.837
update: update README.md,Update README.md,0.943
update: update README.md,Update README.md,0.943
update: update README.md,Update README.md,0.943
Initial commit,Initial commit,1.0
Initial commit,Initial commit,1.0
Initial commit,Initial commit,1.0
Initial commit,Initial commit,1.0
Initial commit,Initial commit,1.0
Added Connect 4 Game,Added Connect 4 Game,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
add translator,add translator,1.0
Create README.md,Create README.md,1.0
"Merge pull request #166 from njwright92/simple-chatbot

README and updated simple chatbot with Phi",README and updated simple chatbot with Phi,0.818
"Create Trie Class, main example file, and README","Create Trie Class, main example file, and README",1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Add files via upload,Add files via upload,1.0
Add files via upload,Add files via upload,1.0
Add files via upload,Add files via upload,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update main.py,Update main.py,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
update readme,update readme,1.0
update readme,Readme Update,1.0
update readme,Readme Update,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Add files via upload,Add files via upload,1.0
Add files via upload,Add files via upload,1.0
Add files via upload,Add files via upload,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
Update README.md,Update README.md,1.0
fixed README typo,fixed README typo,1.0
moved example projects from old repo,moved example projects from old repo,1.0
Initial commit,Initial commit,1.0
